id,title,description,price,location
1,Desert Vanguard Outfit,A tactical outfit inspired by desert patrols.,14.99,JO
2,Amman Skyline Banner,A profile banner featuring the Amman skyline.,4.50,JO
3,Petra Explorer Pack,A themed cosmetic pack for ancient adventures.,19.99,JO
4,Wadi Rum Vehicle Skin,A red-sand finish for your favorite vehicle.,8.75,JO
5,Jordan Falcon Emote,A celebratory falcon companion emote.,3.99,JO
6,Olive Grove Camp Kit,A peaceful camp customization bundle.,11.25,JO
7,Dead Sea Armor Finish,A mineral-blue finish for armor sets.,7.50,JO
8,Aqaba Dive Gear,Underwater-themed character accessories.,12.00,JO
9,Citadel Victory Pose,A heroic pose inspired by the capital.,5.99,JO
10,Royal Road Map Pack,Three challenge maps across historic routes.,16.49,JO
11,Mosaic Weapon Wrap,A colorful geometric weapon skin.,6.25,JO
12,Black Iris Badge,A rare regional profile badge.,2.99,JO
13,Riyadh Night Outfit,A modern outfit inspired by the city after dark.,14.99,SA
14,Diriyah Heritage Pack,Historic architecture-themed cosmetics.,19.99,SA
15,Red Sea Vehicle Skin,A deep-blue aquatic vehicle finish.,8.75,SA
16,Saudi Falcon Emote,A soaring falcon victory emote.,3.99,SA
17,Empty Quarter Camp Kit,A dramatic desert camp customization bundle.,11.25,SA
18,AlUla Armor Finish,A sandstone finish inspired by AlUla.,7.50,SA
19,Jeddah Dive Gear,Coastal character accessories and equipment.,12.00,SA
20,Tuwaiq Victory Pose,A confident pose inspired by the Tuwaiq cliffs.,5.99,SA
21,Incense Route Map Pack,Three challenge maps across trading routes.,16.49,SA
22,Sadu Weapon Wrap,A traditional geometric weapon skin.,6.25,SA
23,Palm Crest Badge,A regional palm profile badge.,2.99,SA
24,Neom Horizon Banner,A futuristic horizon profile banner.,4.50,SA
